dominant_topic_label,posts,avg_engagement_pct,pct_high
"T2: like, feel, doing, people",824,0.519,0.297
"T4: just, lol, started, did",1391,0.516,0.288
"T1: course, hey, complete, tell",404,0.514,0.29
"T0: business, help, build, real",5499,0.511,0.261
"T10: free, actually, putting, clutch praise",900,0.508,0.27
"T8: man, new, stuff, simple",364,0.493,0.25
"T6: understand, easy, easy understand, simple",537,0.49,0.246
"T7: wow, interesting, thought, actually",431,0.483,0.232
"T9: use, don, don use, people",1085,0.481,0.221
"T3: clear, wish, understandable, clear understandable",353,0.477,0.215
"T5: chat, gpt, chat gpt, using",281,0.474,0.214
