Metric,Value
Total Records,4444
Total Columns,7
Column Names,"Keyword, Video ID, Video Title, Comment Text, Author, Published Date, Like Count"
,
--- Column Types ---,
numeric,Like Count
text,"Video Title, Comment Text"
category,Keyword
id,Video ID
author,Author
date,Published Date
,
--- Missing Values ---,
  Missing: Comment Text,11
Duplicate Row Count,15
,
--- Category Distributions ---,
[Keyword] unique values,12
  Automation,478
  AWS,450
  ChatGPT,446
  SEO,442
  Startup,429
  AI Agents,413
  Digital Marketing,380
  Databricks,375
  Data Engineering,372
  Influencer Marketing,282
  Digital Transformation,204
  SaaS,173
,
--- Numeric Statistics ---,
  Mean (Like Count),4.56
  Std (Like Count),135.6
  Min (Like Count),0
  25% (Like Count),0.0
  50% (Like Count),0.0
  75% (Like Count),1.0
  Max (Like Count),8645
,
--- Text Statistics ---,
  Avg length (Video Title),64.78 chars
  Min length (Video Title),19 chars
  Max length (Video Title),100 chars
  Avg length (Comment Text),94.82 chars
  Min length (Comment Text),1.0 chars
  Max length (Comment Text),9610.0 chars
